Date,2330.TW,NVDA,AMD
2018/9/18,235.987198,272.142517,32.43
2018/9/19,239.232605,269.251495,31.93
2018/9/20,241.087112,270.205292,31.209999
2018/9/21,242.477997,264.54245,31.18
2018/9/25,244.33252,261.730927,31.02
2018/9/26,244.33252,263.966217,32.610001
2018/9/27,245.723434,266.658569,32.57
2018/9/28,243.405243,265.178284,32.189999
2018/10/1,243.868881,265.655121,32.59
2018/10/2,238.768982,279.186279,30.889999
2018/10/3,241.087112,287.471832,31.42
2018/10/4,235.52356,284.610657,29.02
2018/10/5,231.814545,284.858978,28.43
2018/10/8,225.787384,277.46756,27.780001
2018/10/9,226.250992,268.09906,27.35
2018/10/11,210.951233,264.035736,26.459999
2018/10/12,219.760178,263.807312,27.24
2018/10/15,213.733017,244.086823,25
2018/10/16,219.760178,233.595718,25.299999
2018/10/17,221.151077,244.931259,26.34
2018/10/18,219.296555,233.844086,26.26
2018/10/19,218.832901,244.225891,28.18
2018/10/22,219.760178,241.473969,27.299999
2018/10/23,213.269379,237.967026,26.620001
2018/10/24,212.805771,227.674606,23.66
2018/10/25,203.533157,229.711258,25.030001
2018/10/26,204.924042,219.617523,25.09
2018/10/29,206.314926,198.10878,22.790001
2018/10/30,206.77858,206.48378,19.27
2018/10/31,216.978394,196.996078,17.629999
2018/11/1,218.369293,184.408798,16.85
2018/11/2,219.296555,201.675354,17.200001
2018/11/5,217.90567,209.4543,18.209999
2018/11/6,217.442017,216.686752,20.219999
2018/11/7,216.978394,213.517593,20.23
2018/11/8,219.296555,210.388168,19.9
2018/11/9,214.196625,209.682785,20.68
2018/11/12,214.660263,212.394974,21.84
2018/11/13,210.951233,204.645874,21.200001
2018/11/14,211.878479,204.327957,21.030001
2018/11/15,214.196625,188.303207,19.030001
2018/11/16,209.560318,198.00946,19.610001
2018/11/19,205.851303,195.90329,20.809999
2018/11/20,202.142273,201.069351,21.49
2018/11/21,203.069534,163.35704,20.66
2018/11/22,203.069534,143.755798,19.110001
2018/11/23,202.605911,148.107208,19.209999
2018/11/26,206.77858,143.765762,18.73
2018/11/27,207.705826,144.053833,19.379999
2018/11/28,210.023956,152.0513,20.08
2018/11/29,212.342117,152.726868,21.049999
2018/11/30,209.09671,159.025513,21.34
2018/12/3,217.90567,156.489594,21.43
2018/12/4,216.978394,162.526047,21.299999
2018/12/5,209.560318,169.099472,23.709999
2018/12/6,203.996796,156.240997,21.120001
2018/12/7,204.924042,157.414459,21.299999
2018/12/10,203.069534,146.793549,19.459999
2018/12/11,206.314926,151.020035,19.99
2018/12/12,210.023956,147.370331,19.98
2018/12/13,209.560318,148.076401,20.48
2018/12/14,206.314926,148.066437,19.860001
2018/12/17,207.242203,145.639954,19.9
2018/12/18,206.314926,142.785812,18.83
2018/12/19,209.09671,146.127243,19.5
2018/12/20,204.924042,137.743866,18.16
2018/12/21,207.242203,134.352753,17.940001
2018/12/24,203.996796,128.853348,16.93
2018/12/25,201.67865,126.377098,16.65
2018/12/26,200.751389,132.363815,17.9
2018/12/27,206.77858,130.444458,17.49
2018/12/28,209.09671,132.910767,17.82
2019/1/2,203.533157,132.761597,18.459999
2019/1/3,199.824097,135.466537,18.83
